Rack,N/S,,E/W,,Square ,AREA,Burial#,Rack,TUBE#,Description,Size (ml),Foci,C14 Sample 2017,Location,Question(s),,Conventional 14C age BP,14C Calendar Date,Calibrated 95% Calendar Date MAX,Calibrated 95% Calendar Date MIN,Calibrated 95% Calendar Date SPAN,Calibrated 95% Calendar Date AVG,Category,Notes,
14,200,N,30,E,SW,,36,14,1,Teeth 5,15,1,10,Deepest Head West at 2.34m; Adult,What is the age of the deepest Head West burials?,3,1845,173,86,239,153,163,Deepest WEST,Arizona Lab,
3,150,N,0,W,NE,,36,3,,TEETH (9),15,2,15,Deepest Head West at 2.2 m; Adult,What is the age of the deepest Head West burials?  Is there a relationship between depth of burial and chronological date?,3,1898,120,52,175,123,114,Deepest WEST,Arizona Lab,
10,160,N,10,E,SE,,53,10,,Teeth 3,15,3,18,Deepest Head West at 1.95m; adult,What is the age of the deepest Head West burials?  Is there a relationship between depth of burial and chronological date?,3,1955,63,35,121,86,78,Deepest WEST,Arizona Lab,
,,,,,SE,,43,,,,,,,,Deepest head west burial,,,,,,,195,Deepest WEST,BETA Analytics  ,
30,200,N,30,E,SW,,50,30,,"Teeth 2, skin, bone fragments",50,1,12,Meter depth (1.0); Head West; adult,Are burials at 1 meter in depth the same age across the cemetery?,4,1708,310,315,397,82,356,One Meter Deep,Arizona Lab,
31,200,N,30,E,SW,,54,31,,"Teeth 3, rib fragments",15,1,13,Meter depth (1.25); Head East; adult,Are burials at 1 meter in depth the same age across the cemetery?,4,1825,193,126,252,126,189,One Meter Deep,Head East,
3,150,N,0,W,NE,,12,3,,TEETH (10) THREE HAVE JAW BONE FRAGMENT ATTACHED,15,2,17,Meter depth (1.0); Head West; adult,Are burials at 1 meter in depth the same age across the cemetery?,4,1637,381,337,474,137,406,One Meter Deep,Arizona Lab,
10,160,N,10,E,SE,,16,10,,Teeth 4 caries,15,3,19,Meter depth (1.0); Head West; adult,Are burials at 1 meter in depth the same age across the cemetery?,4,1631,387,343,475,132,409,One Meter Deep,Arizona Lab,
4,150,N,50,E,SW,,9,4,,TEETH (3) JAW BONE FRAGMENT,15,4,7,Meter depth (1.23); Head East; adult,Are burials at 1 meter in depth the same age across the cemetery?,4,1817,201,129,252,123,191,One Meter Deep,Head East,
4,150,N,50,E,SW,,7,4,,TEETH (6),15,4,9,Meter depth (1.0); Head West; adult,Are burials at 1 meter in depth the same age across the cemetery?,4,1589,429,409,540,131,475,One Meter Deep,Arizona Lab,
7,160,N,10,E,SW,,2,7,5,REED,15,3,20,Plant vs. Human Remains; shallowest burial (0.08),Is there a difference between the chronological dates of remains and burial artifacts?  What is the date of the shallowest burials?,5,1506,512,474,611,137,543,,,
15,160,N,10,E,SW,,2,15,1,Teeth 3,15,3,21,Plant vs. Human Remains; shallowest burial (0.08),Is there a difference between the chronological dates of remains and burial artifacts?  What is the date of the shallowest burials?,5,1562,456,423,553,130,488,,,
,150,N,0,W,NE,,10,,,,,,,,Earliest Christian symbol,,,,,,,595,,BETA,
,200,N,20,E,SE,,50,,,,,,,,"In the same shaft, when did burial reversal occur?",,,,,,,380,,BETA,Head West
,200,N,20,E,SE,,51,,,,,,,,"In the same shaft, when did burial reversal occur?",,,,,,,"275, 370",,BETA,Head East

