Rack #,,Bag #,30,40,N,50,60,E,Area 1,Burial Number,Cluster #,Date,Previously Sampled,Notes,Initials,,,,,,,,
16,,-,140,150,N,50,60,E,NW,6,,,,10 rib fragments; infant,MBB,,,,,,,,
3,,-,140,150,N,50,60,E,NW,9,,,,9 TEETH,GM,,,,,,,,
4,,-,140,150,N,50,60,E,NW,9,,,,4 teeth; adult,MBB,,,,,,,,
6,,-,140,160,N,50,60,E,NWW,8.,,,,11 teeth; child,MBB,,,,,,,,
14,,-,140,150,N,0,10,E,SE,1.,12,1998,,"Skin from arm; UKN (""Cluster 12"") ",MBB,,,,,,,,
14,,-,140,150,N,0,10,E,SE,17.,12,1998,,"Internal tissue; UKN (""Cluster 12"") ",MBB,,,,,,,,
5,,,140,150,N,0,10,E,SE,23.,,,,15 teeth; adult,MBB,,,,,,,,
25,,-,140,130,N,0,10,E,SE,20,,,,Cranium,AWA,,,,,,,,
25,,-,140,150,N,0,10,E,SW,18,,,,Rib; child,AWA,,,,,,,,
-,,1,140,150,N,0,10,E,SW,9,,,,HAIR AND POSSIBLE BONE FRAGMENTS,CIE,,,,,,,,
25,,-,140,160,N,50,60,E,SW,3.,,,,Tissue; UKN,MBB,,,,,,,,
12,,-,140,160,N,50,60,E,SW,20.,,,,"8-9 BROKEN TEETH; ADULT, SEVERELY DECAYED ",CIE,,,,,,,,
17,,-,140,160,N,50,60,E,SW,20.,,,,Empty tube with dust residue,MBB,,,,,,,,
17,,-,140,160,N,50,60,E,SW,20.,,,,Empty tube with dust residue,MBB,,,,,,,,
18,,,150,160,N,0,10,W,NE,6.,5,1998,Yes,"2 teeth; adult (""Cluster 5"")",MBB,,,,,,,,
34,,,150,160,N,0,10,W,NE,8.,,1998,,Skin,AWA,,,,,,,,
34,,,150,160,N,0,10,W,NE,10.,,1998,,Scat.,AWA,,,,,,,,
-,,2,150,160,N,0,10,W,NE,12.,,2/18/1992,,"""DIS-ARTICULATED"" HAND; CHILD, UNK BURIAL ",CIE,,,,,,,,
24,,-,150,160,N,0,10,W,NE,13.,,,,Skin from rib area; UKN,MBB,,,,,,,,
25,,-,150,160,N,0,10,W,NE,13.,,,,Rib pieces; child,AWA,,,,,,,,
8,,-,150,160,N,0,10,W,NE,15.,,,,3 rib fragments; adult,MBB,,,,,,,,
12,,-,150,160,N,0,10,W,NE,15.,,,,5 TEETH; ADULT,CIE,,,,,,,,
25,,-,150,160,N,0,10,W,NE,17.,,,,Cranial Tissue; UKN,MBB,,,,,,,,
25,,-,150,160,N,0,10,W,NE,20.,,,,Tissue from palate; UKN,MBB,,,,,,,,
25,,-,150,160,N,0,10,W,NE,22.,,,,Tissue from skull; UKN,MBB,,,,,,,,
-,,1,150,160,N,0,10,W,NE,23.,,,,HAIR,CIE,,,,,,,,
2,,-,150,160,N,0,10,W,NE,24.,,,,12 teeth; adult,MBB,,,,,,,,
-,,2,150,160,N,0,10,W,NE,29.,,,,HAIR,CIE,,,,,,,,
2,,-,150,160,N,0,10,W,NE,30.,,,,7 teeth; adult,MBB,,,,,,,,
12,,-,150,160,N,0,10,W,NE,30.,,,,5 TEETH; ADULT,CIE,,,,,,,,
17,,-,150,160,N,0,10,W,NE,32.,,,,Powdered tissue sample,MBB,,,,,,,,
31,,,150,160,N,0,10,W,NE,33.,,1998,,Skin,AWA,,,,,,,,
31,,,150,160,N,0,10,W,NE,33.,,1998,,Scapula (?); child,AWA,,,,,,,,
31,,-,150,160,N,0,10,W,NE,37.,22,1998,,Tissue,AWA,,,,,,,,
30,,-,150,160,N,0,10,W,NE,38.,,2000,,"2 TEETH, 1 RIB FRAGMENT; ADULT",CIE,,,,,,,,
30,,-,150,160,N,0,10,W,NE,38.,,2000,,RIBS AND TEETH,GM,,,,,,,,
21,,-,150,160,N,50,60,E,NNW,12.,19,1998,,"Bone powder; UKN  (""Cluster 19"")",MBB,,,,,,,,
21,,-,150,160,N,50,60,E,NNW,13.,19,1998,,"Skin powder; UKN (""Cluster 19"")",MBB,,,,,,,,
21,,-,150,160,N,50,60,E,NNW,13.,19,1998,,"Bone powder; UKN  (""Cluster 19"")",MBB,,,,,,,,
-,,4,150,160,N,50,60,E,NNW,14.,,,,THORACIC REGION MASS,CIE,,,,,,,,
3,,-,150,160,N,50,60,E,NNW,14.,,,,12 EETH- CHILD,GM,,,,,,,,
-,,4,150,160,N,50,60,E,NNW,16.,,,,MANDIBLE AND TEETH; ADULT,CIE,,,,,,,,
3,,-,150,160,N,50,60,E,NNW,16.,,,,10 TEETH,GM,,,,,,,,
8,,-,150,160,N,50,60,E,NNW,16.,,,,2 rib fragments; child,MBB,,,,,,,,
25,,-,150,160,N,50,60,E,NNW,18.,,,,Skin; UKN,MBB,,,,,,,,
2,,-,150,160,N,50,60,E,NNW,18.,,,,~12 broken teeth and fragments; adult,MBB,,,,,,,,
-,,3,150,160,N,50,60,E,NNW,19.,,,,INFANT SKULL FRAGMENTS,CIE,,,,,,,,
12,,-,150,160,N,50,60,E,NNW,19.,,,,"3 TEETH AND FRAGMENT; ADULT, TISSUE ON 1 TOOTH",CIE,,,,,,,,
21,,-,150,160,N,50,60,E,NNW,20.,,,,Powdered tooth sample,MBB,,,,,,,,
21,,-,150,160,N,50,60,E,NNW,20.,,,,Powdered tooth sample,MBB,,,,,,,,
21,,-,150,160,N,50,60,E,NNW,22.,,,,Tissue from intestine and tibia,MBB,,,,,,,,
21,,-,150,160,N,50,60,E,NNW,22.,,,,Powdered foot sample,MBB,,,,,,,,
35,,,150,160,N,50,60,E,NNW,23.,,1998,Yes,2 teeth; bone and tissue; adult,MBB,,,,,,,,
14,,-,150,160,N,50,60,E,NNW,23.,18,1998,Yes,"1 tooth; adult (""Cluster 18"") ",MBB,,,,,,,,
32,,,150,160,N,50,60,E,NNW,24.,3,1998,,2 teeth; adult,AWA,,,,,,,,
32,,,150,160,N,50,60,E,NNW,24.,3,1998,,Skin,AWA,,,,,,,,
30,,-,150,160,N,50,60,E,NNW,25.,,2000,,RIBS AND MOLARS,GM,,,,,,,,
24,,-,150,160,N,50,60,,NNW,16,,,,Skin from foot; UKN,MBB,,,,,,,,
29,,-,150,160,N,0,10,E,NW,1.,,2000,,2 TEETH AND 3 RIB FRAGMENTS; ADULT,CIE,,,,,,,,
-,,3,150,160,N,0,10,E,NW,4.,,2/7/1994,,Hair,CIE,,,,,,,,
14,,,150,160,N,0,10,E,NW,7.,,,,TISSUE ??,GM,,,,,,,,
24,,-,150,160,N,0,10,E,NW,8.,,,,Tissue (muscle?); UKN,MBB,,,,,,,,
6,,-,150,160,N,0,10,E,NW,9.,,,,10 teeth; child,MBB,,,,,,,,
13,,-,150,140,N,0,10,E,NW,10.,,,,"8 WHOLE TEETH & 1 FRAGMENTED TOOTH, ADULT, DECAYED",CIE,,,,,,,,
16,,-,150,160,N,0,10,E,NW,11.,,,,"""Rib #1 1 of 2"" - Written on the tube; 1 rib fragment; UKN",MBB,,,,,,,,
25,,-,150,160,N,0,10,E,NW,13.,,,,Skin,AWA,,,,,,,,
25,,-,150,160,N,0,10,E,NW,13.,,,,Skin from hand; UKN,MBB,,,,,,,,
-,,4,150,160,N,0,10,E,NW,16.,,,,HAIR,CIE,,,,,,,,
6,,-,150,160,N,0,10,E,NW,16.,,,,8 teeth; adult,MBB,,,,,,,,
3,,-,150,160,N,0,10,E,NW,18.,,,,9 TEETH,GM,,,,,,,,
2,,-,150,160,N,0,10,E,NW,21.,,,,9 broken teeth; adult,MBB,,,,,,,,
10,,-,150,160,N,0,10,E,NW,22.,,,,"7 ADULT TEETH, ""EYE, SKIN FROM FACE""",CIE,,,,,,,,
17,,-,150,160,N,0,10,E,NW,27.,,,,Powdered tissue sample,MBB,,,,,,,,
17,,-,150,160,N,0,10,E,NW,29.,,,,Empty tube with dust residue,MBB,,,,,,,,
18,,,150,160,,0,10,W,NW,15,5,1998,,"Skin; UKN (""Cluster 5"")",MBB,,,,,,,,
31,,-,150,160,N,0,10,E,NW,22A,22,1998,Yes,5 teeth; adult,AWA,,,,,,,,
,,6,150,160,N,0,10,E,NW,5-02,,1998,,"SKIN, TEETH, AND INTERNAL TISSUE",GM,,,,,,,,
13,,-,150,160,N,50,60,E,NW,14.,,,,8 BROKEN TEETH; ADULT,CIE,,,,,,,,
24,,-,150,160,N,50,60,E,NW,19.,,,,Tissue; UKN,MBB,,,,,,,,
3,,-,150,160,N,50,60,E,NW,20.,,,,4 TEETH,GM,,,,,,,,
22,,-,150,160,N,50,60,E,NW,23.,,,,BRAIN,GM,,,,,,,,
25,,-,150,160,N,50,60,E,NWW,21,,,,Cranial Tissue; UKN,MBB,,,,,,,,
14,,-,150,160,N,0,10,E,SE,1.,19,1998,,"Skin; UKN (""Cluster 19"") ",MBB,,,,,,,,
14,,,150,160,N,0,10,E,SE,1.,,,,SCALP TISSUE,GM,,,,,,,,
24,,-,150,160,N,0,10,E,SE,1.,,,,Tissue; UKN,MBB,,,,,,,,
13,,-,150,160,N,0,10,E,SE,1.,,,,6 TEETH AND FRAGMENTS; ADULT W/ TISSUE ATTACHED,CIE,,,,,,,,
25,,-,150,160,N,0,10,E,SE,2.,,,,Tissue (muscle?); UKN,MBB,,,,,,,,
3,,-,150,160,N,0,10,E ,SE,3.,,,Y,12 TEETH,GM,,,,,,,,
6,,-,150,160,N,0,10,E,SE,3.,,,,~13 broken teeth and fragments; adult,MBB,,,,,,,,
15,,-,150,160,N,0,10,E,SE,3.,,,,RIB ,GM,,,,,,,,
4,,-,150,160,N,0,10,E,SE,4.,,,,5 teeth; adult,MBB,,,,,,,,
6,,-,150,160,N,0,10,E,SE,5.,,,,5 teeth; adult,MBB,,,,,,,,
14,,,150,160,N,0,10,E,SE,5.,,,,8 bones; UKN,MBB,,,,,,,,
17,,-,150,160,N,0,10,E,SE,5.,,,,Powdered tissue sample,MBB,,,,,,,,
21,,-,150,160,N,0,10,E,SE,6.,,,,Powdered tooth sample,MBB,,,,,,,,
34,,,150,160,N,0,10,E,SE,6.,15,1998,,"""Thoracic along vertebrae""; 2 metal rings",AWA,,,,,,,,
34,,,150,160,N,0,10,E,SE,6.,15,1998,,Broken teeth; UKN,AWA,,,,,,,,
,,6,150,160,N,0,10,E,SE,7.,,1998,,SKIN AND TEETH,GM,,,,,,,,
32,,,150,160,N,0,10,E,SE,7.,3,1998,,Lung,AWA,,,,,,,,
32,,,150,160,N,0,10,E,SE,7.,3,1998,,Rib,AWA,,,,,,,,
29,,-,150,160,N,0,10,E,SE,7.,,2000,,RIBS AND TEETH,GM,,,,,,,,
29,,,150,160,N,0,10,E,SE,8.,,2000,,"3 TEETH, 2 RIB FRAGMENTS; ADULT, ""ROMAN""",CIE,,,,,,,,
30,,-,150,160,N,0,10,E,SE,9.,,2000,,"2 TEETH, 2 RIB FRAGMENTS; ADULT",CIE,,,,,,,,
-,,1,150,160,N,0,10,E,SE,9.,,2/19/1992,,"4 TEETH AND BRAIN;ADULT ""UNIDENTIFIED""",CIE,,,,,,,,
24,,-,150,160,N,0,10,E,SE,9.,,,,Tissue; UKN,MBB,,,,,,,,
3,,-,150,160,N,0,10,E,SE,10.,,,Y,9 TEETH,GM,,,,,,,,
25,,-,150,160,N,0,10,E,SE,11.,,,,Tissue from scapula; UKN,MBB,,,,,,,,
15,,-,150,160,N,0,10,E,SE,11.,,,,TEETH,GM,,,,,,,,
3,,-,150,160,N,0,10,E,SE,12.,,,Y,9 TEETH,GM,,,,,,,,
8,,-,150,160,N,0,10,E,SE,12.,,,,10 teeth; child,MBB,,,,,,,,
8,,-,150,160,N,0,10,E,SE,13.,,,,4 rib fragments; child,MBB,,,,,,,,
8,,-,150,160,N,0,10,E,SE,14.,,,,2 rib fragments; adult,MBB,,,,,,,,
25,,-,150,160,N,0,10,E,SE,14.,,,,Skin from ankle; UKN,MBB,,,,,,,,
3,,-,150,160,N,0,10,E,SE,14.,,,Y,9 TEETH ,GM,,,,,,,,
6,,-,150,160,N,0,10,E,SE,3,,,,7 teeth; adult,MBB,,,,,,,,
16,,-,150,160,N,0,10,E,SW,2.,,,,7 ribs and fragments; child,MBB,,,,,,,,
14,,,150,160,N,0,10,E,SW,2.,,,,5 bones; adult?,MBB,,,,,,,,
11,,,150,160,N,0,10,E,SW,3.,,,Y,TOOTH-RC,GM,,,,,,,,
17,,-,150,160,N,0,10,E,SW,3.,,,,Powdered bone sample,MBB,,,,,,,,
34,,,150,160,N,0,10,E,SW,7.,15,1998,,Skin,AWA,,,,,,,,
31,,-,150,160,N,0,10,E,SW,10.,14,1998,,Long bone,AWA,,,,,,,,
31,,-,150,160,N,0,10,E,SW,2A,14,1998,,Teeth; child,AWA,,,,,,,,
8,,-,150,160,N,50,60,E,SW,1.,,,,2 rib fragments; adult,MBB,,,,,,,,
2,,-,150,160,N,50,50,E,SW,1.,,,,9 teeth; adult,MBB,,,,,,,,
22,,-,150,160,N,50,60,E,SW,2.,,,,SKULL,GM,,,,,,,,
14,,,150,160,N,50,60,E,SW,4.,,,,3 bone fragments (foot); adult,MBB,,,,,,,,
21,,-,150,160,N,50,60,E,SW,5.,,,,Skin sample,MBB,,,,,,,,
11,,,150,160,N,50,60,E,SW,5.,,,,TOOTH-RC,GM,,,,,,,,
17,,-,150,160,N,50,60,E,SW,5.,,,,Empty tube with dust residue,MBB,,,,,,,,
17,,-,150,160,N,50,60,E,SW,5.,,,,Empty tube with dust residue,MBB,,,,,,,,
14,,-,150,160,N,50,60,E,SW,6.,18,1998,,"Skin; UKN (""Cluster 18"") ",MBB,,,,,,,,
31,,,150,160,N,50,60,E,SW,7.,2,1998,,Skin,AWA,,,,,,,,
31,,,150,160,N,50,60,E ,SW,8.,2,1998,,Ribs,AWA,,,,,,,,
31,,,150,160,N,50,60,E ,SW,8.,2,1998,,3 Teeth; adult,AWA,,,,,,,,
30,,-,150,160,N,50,60,E,SW,8.,,2000,,"3 TEETH, 3 RIB FRAGMENTS; ADULT",CIE,,,,,,,,
30,,-,150,160,N,50,60,E,SW,9.,,2000,,RIBS AND TEETH,GM,,,,,,,,
29,,,150,160,N,50,60,E,SW,9.,,2000,,"2 MANDIBLE FRAGMENTS W/ MULT TEETH FRAGMENTS, MULT RIB FRAGMENTS; INFANT",CIE,,,,,,,,
29,,,150,160,N,50,60,E,SW,10.,,2000,,BABY,GM,,,,,,,,
14,,-,150,160,N,50,60,E,SW,10.,,,,SKIN FROM SKULL,GM,,,,,,,,
4,,-,150,160,N,50,60,E,SW,10.,,,,5 teeth; adult,MBB,,,,,,,,
6,,-,150,160,N,50,60,E,SW,10.,,,,6 teeth; adult (some bone),MBB,,,,,,,,
3,,-,150,160,N,50,60,E,SW,10.,,,,9 TEETH,GM,,,,,,,,
4,,-,150,160,N,50,60,E ,SW,11.,,,,4 teeth; adult,MBB,,,,,,,,
-,,1,150,160,N,50,60,E ,SW,11.,,,,HAIR AND POSSIBLE BONE FRAGMENTS,CIE,,,,,,,,
8,,-,150,160,N,50,60,E,SW,13.,,,,3 rib fragments; adult,MBB,,,,,,,,
22,,-,150,160,N,50,60,E,SW,13.,,,,TISSUE FROM TIBIA JOINT BY ANKLE,GM,,,,,,,,
-,,4,150,160,N,50,60,E,SW,14.,,,,HAIR,CIE,,,,,,,,
3,,-,150,160,N,50,60,E,SW,14.,,,,11 TEETH AND FRAGMENTS,GM,,,,,,,,
12,,-,150,160,N,50,60,E,SW,15.,,,,8 TEETH; ADULT,CIE,,,,,,,,
14,,,150,160,N,50,60,E,SW,15.,,,,3 rib fragments; adult,MBB,,,,,,,,
12,,-,150,160,N,50,60,E,SW,15.,,,,"2 TEETH; ADULT, 1 BROKEN IN HALF",CIE,,,,,,,,
22,,-,150,160,N,50,60,E,SW,15.,,,,HAIR,GM,,,,,,,,
-,,5,150,160,N,50,60,E,SW,16.,,1993,,"4 tubes with bone fragments and tissue; UKN (""SOHAG"") written on bag",MBB,,,,,,,,
14,,-,150,160,N,50,60,E,SW,16.,18,1998,,"Rib fragment and tissue; adult (""Cluster 18"") ",MBB,,,,,,,,
14,,-,150,160,N,50,60,E,SW,17.,13,1998,,"~5 broken teeth fragments; child (""Cluster 13"") ",MBB,,,,,,,,
14,,-,150,160,N,50,60,E,SW,17.,13,1998,,"Tissue; (""Cluster 13"") ",MBB,,,,,,,,
33,,,150,160,N,50,60,E,SW,18.,2,1998,,Tissue,AWA,,,,,,,,
33,,,150,160,N,50,60,E,SW,18.,2,1998,,Internal,AWA,,,,,,,,
29,,,150,160,N,50,60,E,SW,19.,,2000,,2 TEETH AND 2 RIB FRAGMENTS; ADULT,CIE,,,,,,,,
29,,,150,160,N,50,60,E,SW,19.,,2000,,RIBS AND TEETH,GM,,,,,,,,
30,,-,150,160,N,50,60,E,SW,20.,,2000,,"2 TEETH (MOLARS), 2 RIBS; CHILD",CIE,,,,,,,,
13,,-,150,160,N,50,60,E,SW,20.,,,,5 TEETH; ADULT,CIE,,,,,,,,
14,,-,150,160,N,50,60,E,SW,20.,,,,SKIN AND HAIR,GM,,,,,,,,
3,,-,150,160,N,50,60,E,SW,22.,,,,11 TEETH,GM,,,,,,,,
3,,-,150,160,N,50,60,E,SW,22.,,,,4 TEETH,GM,,,,,,,,
4,,-,150,160,N,50,60,E,SW,22.,,,,4 teeth; adult,MBB,,,,,,,,
25,,-,150,160,N,50,60,E,SW,22.,,,,Rib; adult,AWA,,,,,,,,
-,,4,150,160,N,50,60,E,SW,24.,,,,HALF MANDIBLE W/ TEETH; ADULT,CIE,,,,,,,,
6,,-,150,160,N,50,60,E,SW,24.,,,,9 teeth; adult,MBB,,,,,,,,
4,,-,150,160,N,50,60,E,SW,25.,,,,5 teeth; adult,MBB,,,,,,,,
8,,-,150,160,N,50,60,E,SW,25.,,,Yes,6 teeth; adult,MBB,,,,,,,,
27,,-,150,160,N,50,60,E,SW,26.,,,,Tissue (skin and mucle) from foot (5 toes); UKN,MBB,,,,,,,,
14,,-,150,160,N,50,60,E,SW,26.,13,1998,,"Rib fragments; child (""Cluster 13"")",MBB,,,,,,,,
35,,,150,160,N,50,60,E,SW,26.,10,1998,,"3 teeth and tissue; adult (""Cluster 10"") ",MBB,,,,,,,,
34,,,150,160,N,50,60,E,SW,27.,17,1998,,Internal tissue,AWA,,,,,,,,
34,,,150,160,N,50,60,E,SW,27.,17,1998,,Skin,AWA,,,,,,,,
34,,,150,160,N,50,60,E,SW,27.,17,1998,,Ribs and teeth; child,AWA,,,,,,,,
30,,-,150,160,N,50,60,E,WNW?,17,,2000,,RIBS AND MOLARS- YOUTH,GM,,,,,,,,
14,,-,150,160,N,0,10,E,,,19,1998,,"Bone fragments; UKN (""Cluster 19"")",MBB,,,,,,,,
17,,-,160,170,N ,30,40,E , ,9.,,,,Powdered tissue sample,MBB,,,,,,,,
30,,-,160,170,N,0,10,W,NW,3.,,2000,,"""RIBS AND MOLARS""; UNK AGE (TOO DIRTY TO SEE)",CIE,,,,,,,,
30,,-,160,170,N,0,10,W,NW,4.,,2000,,RIBS AND TEETH,GM,,,,,,,,
30,,-,160,170,N,0,10,W,NW,6.,,2000,,"VERTEBRAE, INFANT W/ TISSUE",CIE,,,,,,,,
